Product Type,Color,Size,Price,ID,Gender,Available Number,Description,Availability,quarterly_sold,monthly_sold
shirts,Teal,L,96,7644,Genderfluid,29,This is a l sized teal shirts for genderfluid,Available,14,7
jackets,Green,XL,113,5258,Genderfluid,12,This is a xl sized green jackets for genderfluid,Available,42,22
shirts,Khaki,S,99,8977,Non-binary,49,This is a s sized khaki shirts for non-binary,Available,77,33
trousers,Fuscia,S,130,3656,Female,3,This is a s sized fuscia trousers for female,Available,58,2
shirts,Goldenrod,L,111,5603,Female,43,This is a l sized goldenrod shirts for female,Available,17,4
trousers,Goldenrod,M,139,3439,Female,42,This is a m sized goldenrod trousers for female,Available,3,10
trousers,Violet,2XL,130,5074,Genderfluid,10,This is a 2xl sized violet trousers for genderfluid,Available,59,13
jackets,Puce,M,110,7416,Genderqueer,44,This is a m sized puce jackets for genderqueer,Available,64,18
shirts,Crimson,2XL,105,8685,Genderfluid,33,This is a 2xl sized crimson shirts for genderfluid,Available,32,23
shirts,Violet,3XL,102,2425,Bigender,7,This is a 3xl sized violet shirts for bigender,Available,92,6
jackets,Mauv,XS,110,6609,Polygender,40,This is a xs sized mauv jackets for polygender,Available,22,5
jackets,Green,L,113,1624,Bigender,33,This is a l sized green jackets for bigender,Available,32,20
trousers,Violet,2XL,130,4091,Male,21,This is a 2xl sized violet trousers for male,Available,44,11
trousers,Green,XS,127,1681,Genderqueer,36,This is a xs sized green trousers for genderqueer,Available,34,22
jackets,Purple,XS,116,1921,Non-binary,41,This is a xs sized purple jackets for non-binary,Available,83,17
jackets,Blue,XL,110,5297,Polygender,23,This is a xl sized blue jackets for polygender,Available,68,8
shirts,Aquamarine,XS,114,5207,Non-binary,9,This is a xs sized aquamarine shirts for non-binary,Available,29,3
jackets,Maroon,M,116,3236,Male,20,This is a m sized maroon jackets for male,Available,7,5
trousers,Orange,M,130,3185,Agender,23,This is a m sized orange trousers for agender,Available,42,7
trousers,Teal,M,124,9005,Genderfluid,25,This is a m sized teal trousers for genderfluid,Available,48,19
